"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Wisconsin","2015","0","17019139","165155","7647097","4892126","2754971","1014656","57596","641464","395883","645372","7069248","1032411","470542","634686","6974861","4108499","1979400","0","1515522","21269","0","3386","0","72201","43770","18337","127","918","453569","1925760","4521386","0","872661","0","9691875","236255","8745677","709943","465132","27279","133236","22086615","111465"
"Wyoming","2015","0","2356323","318569","994850","811105","183745","118639","1885","24696","3475","35050","0","0","77492","965412","1412096","249418","117676","0","509","13265","777","0","0","15410","1019","3190","0","2","97570","467279","477041","0","242402","5006","804874","21","623581","181272","348886","6","39890","834783","26687"
"Missouri","2016","0","12297119","30892","5302264","3536396","1765868","717178","36849","101944","0","909897","6023701","328736","289124","322402","5663144","3071690","2004057","0","851599","6610","0","0","0","10463","3601","17550","0","1","177809","1317546","3234366","0","866697","7591","8893711","104988","8365743","422980","1809926","4477","269655","19103212","43844"
"Montana","2016","0","2627943","278497","562474","0","562474","186083","31907","86289","43995","214200","1181042","118969","144973","341988","962362","485745","419070","0","1709","314","37","0","0","16671","1556","983","0","0","45405","394219","897036","0","101495","5988","1709086","0","1605043","104043","214334","2168","37688","3052423","46792"
"Nebraska","2016","0","5117133","123","2362718","1783498","579220","342004","30520","61258","49288","96150","2244719","307672","104287","97614","1646810","994344","803124","0","29628","1412","308","0","0","35041","8506","1786","0","199","114340","864156","2008686","0","236085","3249","2434830","29058","1767568","638204","253672","1184","80262","1950506","43720"
"Nevada","2016","0","8026362","280055","6347777","4266267","2081510","315897","45098","174663","23357","1522495","0","0","196610","1201920","1285653","791531","526398","0","2015","3025","0","0","0","8858","6593","9372","0","117","235153","611236","1408963","22117","450794","9133","3209990","48664","2876582","284744","236006","83","78961","3222367","62453"
"New Hampshire","2016","0","2620443","405186","958052","0","958052","152086","12850","203102","53427","536587","93958","573653","102438","487156","1761676","939260","613285","0","7329","158397","292","0","0","4342","21461","14822","1962","0","117370","446704","985188","0","221350","2164","2024874","47124","1713407","264343","123579","1039","62246","7869122","29351"
"New Jersey","2016","0","31546720","4638","13173332","9267703","3905629","554473","138799","677216","964738","1570403","13355992","2229487","642537","2140734","11768863","6752000","2876141","20467","1006834","1728291","12013","0","31258","3477","52815","64849","5339","7365","963618","5019460","5690978","2764777","2337570","4299","15761627","382592","11649947","3729088","2870284","16011","591726","66731791","192922"
"New Mexico","2016","0","5178859","37777","2797343","1934883","862460","248781","37777","81824","28866","465212","1043515","89708","239344","971172","3836213","1665686","594087","0","940898","12347","0","0","0","14799","1431","1412","0","1114","99598","781392","2234796","4931","435792","0","6175220","56879","5793204","325137","646275","4155","124407","7086700","10441"
"New York","2016","0","81380073","0","24790017","13534170","11255847","1612425","299931","1247078","914309","7182104","46504528","4181811","1387731","4515986","23935414","10190827","3028304","0","4934317","831209","57046","0","9113","71252","314590","9525","0","147","935324","9011573","10788091","1027","2109255","4842","53523292","0","52806974","716318","3029318","11048","796368","143986640","195815"
"North Carolina","2016","0","26218693","0","11149894","7187844","3962050","1936102","378744","286286","122","1360796","12042957","1066511","714464","1244867","8644140","5763546","3397477","0","1606046","46601","71","2134","39996","40524","22084","66663","0","450","541500","3817315","7710261","458855","1903975","7477","12482250","30691","12027575","423984","923059","6517","500418","16919235","62075"
"North Dakota","2016","0","3709105","3910","1496824","1017269","479555","196837","9026","30757","46455","196480","351125","103069","119473","1634704","1320732","759615","433422","0","6036","2454","1","0","0","25097","5358","3669","0","0","283578","1010285","1220090","0","127525","2644","1455810","63586","1192554","199670","123942","4879","31277","2355700","17368"
"Ohio","2016","0","28694883","0","18231167","12226504","6004663","1855699","100712","1008798","1156646","1882808","8169197","33235","769085","1492199","14067643","8897387","4958889","0","3482635","303968","0","0","0","27132","18045","19903","0","0","86815","4786532","8878054","0","1337658","14700","25745788","481898","24425280","838610","1082275","30268","317115","33164507","125885"
"Oklahoma","2016","0","8761599","0","3778399","2471242","1307157","463962","120099","316471","46168","360457","3324654","327783","719518","611245","5147779","2805967","2011026","0","245471","259588","157","0","0","16975","24308","12132","0","1646","234664","2399770","4036187","0","616230","5137","6633327","146794","5468230","1018303","843564","16847","181408","8702914","85288"
"Oregon","2016","0","10888032","20587","1431182","0","1431182","517757","18375","270199","14951","609900","7611745","633871","539474","651173","7952134","5494598","1650689","0","1975825","30114","0","0","0","161830","26100","7638","0","146","1642256","1390843","3761974","0","1225913","4918","10027510","271414","6376484","3379612","725949","9961","200548","13355878","54756"
"Pennsylvania","2016","0","37394589","43124","19284374","10221593","9062781","2971950","373004","962110","1310130","3445587","11932232","2456231","900127","2778501","15730986","11466187","6003342","0","3754284","1085432","19","0","0","62174","42185","60856","4","43","457848","8358220","9632239","0","2551255","13795","26035641","1479268","22584998","1971375","2238914","6146","1033676","47099314","102457"
"Rhode Island","2016","0","3245562","2544","1665438","973585","691853","90032","20399","144403","103971","333048","1236194","144269","22793","174324","1872496","981226","450607","183","4984","45987","55793","0","0","15442","34744","11746","99005","10056","252862","392924","682812","51880","242306","2776","2971483","25916","2642032","303535","214680","0","84863","9052017","39583"
"South Carolina","2016","0","9457330","32670","4525200","3192331","1332869","574513","173138","28138","28164","528916","3869342","408297","223783","398038","6929997","4927164","2286388","0","1707779","38056","322","0","211166","31340","39539","12470","0","0","600104","1640221","4164261","0","1529491","9826","7551204","194447","6653601","703156","1037095","0","167338","15894831","65264"
"South Dakota","2016","0","1840434","0","1528160","1065451","462709","189321","17808","70782","3103","181695","0","33736","82947","195591","928425","418307","337681","0","974","1954","0","0","0","15476","2086","0","0","0","60136","742907","744418","0","142253","2385","1104000","78608","782489","242903","141410","1415","43880","3374135","22896"
"Tennessee","2016","0","13386169","0","9704247","7006376","2697871","897608","174340","263739","8268","1353916","323952","1538649","301635","1517686","3965756","2113043","1648947","0","29405","232","0","0","0","17274","37910","4901","0","1164","373210","1595312","3704819","104479","883012","10663","11529491","551770","10075549","902172","566540","5793","209035","6068765","68027"
"Texas","2016","0","52132817","0","46370774","32131385","14239389","3500210","1191961","1479863","605487","7461868","0","0","2227996","3534047","26503684","15050159","7656899","16","6369692","223081","0","0","0","42831","59541","15578","146","73058","609333","11015172","23241367","287250","2354720","26939","37014964","1902367","32516620","2595977","2489906","886468","1134902","49357183","194989"
"Utah","2016","0","7082961","0","3031819","2083671","948148","419727","51563","119717","24351","332790","3374535","333358","184078","159171","5135989","4041738","1707004","0","1998935","1122","216","0","0","11229","16998","3550","0","4104","298580","1848989","4402104","0","313940","7431","3583787","588044","2756794","238949","299908","3376","154249","7014839","11827"
"Vermont","2016","0","3117428","1056323","1031257","371365","659892","77404","25025","80418","9012","468033","729986","129899","71626","98337","903938","636180","540179","0","0","314","0","0","0","2163","10842","4576","0","0","78106","342985","871891","0","271544","2977","1876671","52046","1178804","645821","354884","2376","100595","3493223","2316"
"Virginia","2016","0","21213280","30367","6879901","3931717","2948184","895589","268547","178847","121749","1483452","12237996","752689","477126","835201","14193632","9842437","4270051","0","4556162","44762","57","0","439088","10931","27118","23838","0","0","470430","3610808","7757368","0","1146309","19271","10013961","391353","9052128","570480","897603","17482","376388","28628254","84311"
"Washington","2016","0","22280088","2062065","17636031","13560382","4075649","1457933","347642","450805","489225","1330044","0","0","603519","1978473","8092002","5352613","2902075","0","1434696","371912","0","0","0","156105","2586","81759","0","0","403480","2843344","7098190","0","1395037","7616","11579106","496925","9824320","1257861","2064735","36738","426551","33051285","189939"
"West Virginia","2016","0","5212967","6957","2664896","1282003","1382893","383874","17782","194732","107719","678786","1848866","116305","4329","571614","2568902","1456598","884664","0","64402","101880","1902","0","0","37810","15148","8066","10247","1294","331185","948138","1739159","0","517961","13432","4739477","365926","3816899","556652","226151","11031","84441","8239934","20147"
"Wisconsin","2016","0","17649467","170537","7763441","5058789","2704652","1043282","58970","649538","368724","584138","7486676","986785","493293","748735","7435405","4541017","2164406","0","1684431","21206","0","3458","0","58892","43340","16109","56","929","548190","1162149","4780536","0","706573","0","10290894","267983","9120221","902690","200864","18589","147203","23052389","136196"
"Wyoming","2016","0","1913607","338776","820146","641495","178651","115175","1919","24060","4823","32674","0","0","76448","678237","1032467","242096","118446","0","391","8293","755","0","0","14075","904","3476","0","1","95755","484691","580620","0","235343","4962","835005","10","643332","191663","371970","15","40468","775568","16307"
